Республика Саха (Якутия),205205.547,193947.078,181171.566,198032.255,275576.034,386790.021,403573.701,420943.741,259086.513,414796.814,645672.637,739455.514
Забайкальский край,67595.801,57460.954,69504.944,76281.788,85702.385,96324.45,90011.519,96182.444,126879.966,163401.063,187252.068,270281.541
Камчатский край,36138.23,32708.185,25128.127,22849.816,37298.185,39007.074,40301.326,46742.59,58395.126,78471.338,94667.854,128156.706
Приморский край,203189.212,123061.239,134301.001,139207.732,130499.663,130934.549,144523.259,182119.211,229460.526,253355.638,321001.004,400584.045
Хабаровский край,179907.237,150077.527,128691.976,114008.054,120091.096,121185.003,143705.967,178207.844,243359.341,246365.704,281415.767,418705.221
Амурская область,113083.864,102003.486,76375.699,102213.985,129816.094,192469.379,251184.448,340966.49,360433.739,412200.776,488038.236,751058.00877
Магаданская область,27571.077,37878.968,40721.617,60666.334,41798.186,43891.734,57640.056,41237.345,47192.68,75193.369,81501.917,97144.297
Сахалинская область,164027.844,175632.362,205489.394,241463.508,240010.758,211815.111,229594.794,238383.696,230493.935,241353.939,269386.05,305370.006
Еврейская автономная область,24946.157,14326.776,10288.017,12012.467,12929.386,11041.948,17153.738,15885.615,16494.478,16827.403,20900.932,29326.7621734475
Чукотский АО,17283.797,12804.207,8386.266,14633.12,12756.589,12500.111,17381.181,27211.444,31475.664,50752.848,81379.434,88174.20817
